city_name,description,cause_of_incident,from_road,to_road,affected_roads,incident_category_desc,magnitude_of_delay_desc,length_in_meters,delay_in_seconds,incident_date
Guimaraes,"stationary traffic",,"Rua de São Tomé e Príncipe",N105,,Jam,Major,211,203,"2019-02-28 19:45:01.855000"
Guimaraes,"queuing traffic",,"Acesso A11, Guimarães Sul (N105)","Rua De Angola (N105)",N105,Jam,Moderate,953,152,"2019-02-28 19:45:01.855000"
Guimaraes,"queuing traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Moderate,929,197,"2019-02-28 19:25:01.618000"
Guimaraes,"stationary traffic",,"N105 / Rua da Cruz de Pedra","Avenida de Mariano Felgueiras / Alameda Doutor Mariano Felgueiras",,Jam,Major,180,137,"2019-02-28 19:25:01.618000"
Guimaraes,"stationary traffic",,"N105 / Rua da Cruz de Pedra","Largo 25 de Abril (N101)",,Jam,Major,234,326,"2019-02-28 19:25:01.618000"
Guimaraes,"stationary traffic",,"Alameda da Universidade (N309)","Alameda Doutor Alfredo Pimenta (N101)",,Jam,Major,634,199,"2019-02-28 19:25:01.618000"
Guimaraes,"stationary traffic",,"Quinta de Vilaverde",Urgezes,,Jam,Major,400,207,"2019-02-28 19:25:01.618000"
Guimaraes,"stationary traffic",,"Rua Serpa Pinto (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,228,226,"2019-02-28 19:25:01.618000"
Guimaraes,"stationary traffic",,"IC5 (Mesão Frio) (N101)","Oliveira Do Castelo (N101)",N101,Jam,Major,424,146,"2019-02-28 19:25:01.618000"
Guimaraes,"stationary traffic",,"Rua Do Parque Industrial Da Ponte (N101)","IC5/N105 (N101)",N101,Jam,Major,1341,318,"2019-02-28 19:05:02.140000"
Guimaraes,"stationary traffic",,Fermentões,"Rua de Santa Eulália (N101)",,Jam,Major,177,138,"2019-02-28 19:05:02.140000"
Guimaraes,"stationary traffic",,"N105 / Rua da Cruz de Pedra","Largo 25 de Abril (N101)",,Jam,Major,234,335,"2019-02-28 19:05:02.140000"
Guimaraes,"stationary traffic",,"Oliveira Do Castelo (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,333,231,"2019-02-28 19:05:02.140000"
Guimaraes,"queuing traffic",,"Vista Alegre (N105)","Rua De Angola (N105)",N105,Jam,Moderate,1099,173,"2019-02-28 19:05:02.140000"
Guimaraes,"stationary traffic",,"Rua Do Parque Industrial Da Ponte (N101)","Rua Reitor Francisco José Ribeiro (N101)",N101,Jam,Major,615,153,"2019-02-28 19:05:02.140000"
Guimaraes,"stationary traffic",,N105,"Rua do Paio Galvão (N101) / Avenida Conde Margaride",,Jam,Major,553,187,"2019-02-28 18:45:01.873000"
Guimaraes,"stationary traffic",,"N206 (N105)","Rua Eduardo Manuel De Almeida (N105)",N105,Jam,Major,491,116,"2019-02-28 18:45:01.873000"
Guimaraes,"stationary traffic",,"N105 / Rua da Cruz de Pedra","Largo 25 de Abril (N101)",,Jam,Major,234,215,"2019-02-28 18:45:01.873000"
Guimaraes,"stationary traffic",,"Praceta Rotary Club de Guimarães","Alameda Doutor Alfredo Pimenta (N101)",,Jam,Major,511,202,"2019-02-28 18:45:01.873000"
Guimaraes,"stationary traffic",,"Rua Do Parque Industrial Da Ponte (N101)","Rua De Santo António (N101)",N101,Jam,Major,1139,299,"2019-02-28 18:25:02.048000"
Guimaraes,"stationary traffic",,"Rua Do Parque Industrial Da Ponte (N101)","IC5/N105 (N101)",N101,Jam,Major,1519,393,"2019-02-28 18:25:02.048000"
Guimaraes,"stationary traffic",,"N105 (N206)","Acesso A11, Guimarães Oeste (N206)",N206,Jam,Major,1755,289,"2019-02-28 18:25:02.048000"
Guimaraes,"slow traffic",,"N206 (N105)","Rua De Angola (N105)",N105,Jam,Minor,333,43,"2019-02-28 18:25:02.048000"
Guimaraes,"queuing traffic",,"Acesso A11, Guimarães Sul (N105)","Rua De Angola (N105)",N105,Jam,Moderate,640,131,"2019-02-28 18:25:02.048000"
Guimaraes,"stationary traffic",,"N105 / Rua da Cruz de Pedra","Largo 25 de Abril (N101)",,Jam,Major,190,214,"2019-02-28 18:25:02.048000"
Guimaraes,"stationary traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Major,704,150,"2019-02-28 18:25:02.048000"
Guimaraes,"stationary traffic",,"N207-4 (N309)","Rua 24 de Junho (N309)",N309,Jam,Major,490,191,"2019-02-28 18:25:02.048000"
Guimaraes,"stationary traffic",,"Rua Do Parque Industrial Da Ponte (N101)","Rua Reitor Francisco José Ribeiro (N101)",N101,Jam,Major,609,202,"2019-02-28 18:05:01.717000"
Guimaraes,"queuing traffic",,"Rua Do Parque Industrial Da Ponte (N101)","IC5/N105 (N101)",N101,Jam,Moderate,1440,213,"2019-02-28 18:05:01.717000"
Guimaraes,"stationary traffic",,"N105 / Rua da Cruz de Pedra","Largo 25 de Abril (N101)",,Jam,Major,190,256,"2019-02-28 18:05:01.717000"
Guimaraes,"stationary traffic",,"Alameda da Universidade (N309)","Alameda Doutor Alfredo Pimenta (N101)",,Jam,Major,582,190,"2019-02-28 18:05:01.717000"
Guimaraes,"stationary traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Major,704,220,"2019-02-28 18:05:01.717000"
Guimaraes,"stationary traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Major,644,151,"2019-02-28 17:45:01.838000"
Guimaraes,"stationary traffic",,"Praceta Rotary Club de Guimarães","Alameda Doutor Alfredo Pimenta (N101)",,Jam,Major,511,163,"2019-02-28 17:45:01.838000"
Guimaraes,"slow traffic",,"N206 (N105)","Rua De Angola (N105)",N105,Jam,Minor,333,35,"2019-02-28 17:45:01.838000"
Guimaraes,"stationary traffic",,"IC5 (Mesão Frio) (N101)","Avenida Do Rio De Janeiro (N101)",N101,Jam,Major,441,160,"2019-02-28 17:45:01.838000"
Guimaraes,"stationary traffic",,"Praceta Rotary Club de Guimarães","Alameda Doutor Alfredo Pimenta (N101)",,Jam,Major,511,180,"2019-02-28 17:25:01.895000"
Guimaraes,"queuing traffic",,N101,"Largo de Navarros de Andrade",,Jam,Moderate,388,141,"2019-02-28 15:45:01.707000"
Guimaraes,"stationary traffic",,"Rua Serpa Pinto (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,209,178,"2019-02-28 15:25:02.058000"
Guimaraes,"stationary traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Major,773,196,"2019-02-28 14:05:01.698000"
Guimaraes,"queuing traffic",,"Rua Do Parque Industrial Da Ponte (N101)","IC5/N105 (N101)",N101,Jam,Moderate,1478,287,"2019-02-28 09:05:01.862000"
Guimaraes,"queuing traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Moderate,906,182,"2019-02-28 08:45:02.699000"
Guimaraes,"slow traffic",,"N206 (N105)","Rua De Angola (N105)",N105,Jam,Minor,419,30,"2019-02-28 08:45:02.699000"
Guimaraes,"queuing traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Moderate,943,194,"2019-02-27 19:45:01.868000"
Guimaraes,"queuing traffic",,"Vista Alegre (N105)","Rua De Angola (N105)",N105,Jam,Moderate,1541,262,"2019-02-27 19:25:02.531000"
Guimaraes,"stationary traffic",,"Praceta da Resistência ao Fascismo","Avenida do Rio de Janeiro",,Jam,Major,205,239,"2019-02-27 19:25:02.531000"
Guimaraes,"queuing traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Moderate,681,132,"2019-02-27 19:25:02.531000"
Guimaraes,"stationary traffic",,"Praceta Rotary Club de Guimarães","Alameda Doutor Alfredo Pimenta (N101)",,Jam,Major,511,164,"2019-02-27 19:05:02.205000"
Guimaraes,"stationary traffic",,"Rua Serpa Pinto (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,228,141,"2019-02-27 19:05:02.205000"
Guimaraes,"queuing traffic",,"Acesso A11, Guimarães Sul (N105)","Rua De Angola (N105)",N105,Jam,Moderate,981,188,"2019-02-27 19:05:02.205000"
Guimaraes,"stationary traffic",,"N105 / Rua de Angola","Alameda Cidade de Lisboa",,Jam,Major,232,396,"2019-02-27 18:45:01.987000"
Guimaraes,"queuing traffic",,"Vista Alegre (N105)","Rua De Angola (N105)",N105,Jam,Moderate,988,174,"2019-02-27 18:45:01.987000"
Guimaraes,"stationary traffic",,"Quinta de Vilaverde",Urgezes,,Jam,Major,423,152,"2019-02-27 18:45:01.987000"
Guimaraes,"stationary traffic",,"Largo da República do Brasil (N101)",Urgezes,,Jam,Major,742,263,"2019-02-27 18:45:01.987000"
Guimaraes,"stationary traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Major,1072,271,"2019-02-27 18:45:01.987000"
Guimaraes,"stationary traffic",,"Rua João Paulo II (N101)","Rua De Santo António (N101)",N101,Jam,Major,1627,982,"2019-02-27 18:25:01.795000"
Guimaraes,"stationary traffic",,"Rua Do Parque Industrial Da Ponte (N101)","IC5/N105 (N101)",N101,Jam,Major,1341,357,"2019-02-27 18:25:01.795000"
Guimaraes,"queuing traffic",,"Acesso A11, Guimarães Sul (N105)","Rua De Angola (N105)",N105,Jam,Moderate,726,127,"2019-02-27 18:25:01.795000"
